"","upwind_dist_km","site_Dd18O","site_DW","site_DP","dist_inland_km","M_factorChange","site_region"
"1474",2414.28349579804,-2.50940982433401,-10.5643132709703,2.03873352380027e-05,100,3.10344827586207,"coast"
"1475",3814.28349579804,-3.57032080908315,-12.1308759965347,1.04684288984454e-05,1500,3.10344827586207,"middle"
"1476",5314.28349579804,-4.23754710423629,-12.8769209388659,5.78994726190237e-06,3000,3.10344827586207,"inland"
"1477",2414.28349579804,-1.96256623965685,-8.52921156134165,1.85401173940707e-05,100,2.53521126760563,"coast"
"1478",3814.28349579804,-2.85235261271,-9.9911060442567,1.02719526495022e-05,1500,2.53521126760563,"middle"
"1479",5314.28349579804,-3.43918336845195,-10.7472672624268,6.05582937130311e-06,3000,2.53521126760563,"inland"
"1480",2414.28349579804,-1.53578904404594,-6.8515624974743,1.62800451328458e-05,100,2.14285714285714,"coast"
"1481",3814.28349579804,-2.27072217972824,-8.15082364567227,9.61008094162872e-06,1500,2.14285714285714,"middle"
"1482",5314.28349579804,-2.77334343711655,-8.868438747747,5.97699463844632e-06,3000,2.14285714285714,"inland"
"1483",2414.28349579804,-1.1941344228904,-5.44454995539341,1.3867463766127e-05,100,1.85567010309278,"coast"
"1484",3814.28349579804,-1.78992097721709,-6.55146435709642,8.64881586604499e-06,1500,1.85567010309278,"middle"
"1485",5314.28349579804,-2.2094511245101,-7.19745158891065,5.63772427148344e-06,3000,1.85567010309278,"inland"
"1486",2414.28349579804,-0.91470096849644,-4.24753384210552,1.14415812828607e-05,100,1.63636363636364,"coast"
"1487",3814.28349579804,-1.3853379725054,-5.15027751924176,7.49673327874452e-06,1500,1.63636363636364,"middle"
"1488",5314.28349579804,-1.72512751457998,-5.70337456970908,5.09903483759978e-06,3000,1.63636363636364,"inland"
"1489",2414.28349579804,-0.682021398570543,-3.21686303679328,9.0760504983966e-06,100,1.46341463414634,"coast"
"1490",3814.28349579804,-1.03990618758443,-3.91566054678406,6.22375764681714e-06,1500,1.46341463414634,"middle"
